10     2000.0000     2000.0000
20     4000.0000     3200.0000
30     4500.0000     4153.8462
40     4740.7407     4740.7407
50     3623.1884     4807.6923
60     4747.2527     4747.2527
70     4107.7844     4604.0268
80     4612.6126     4876.1905
90     4811.8812     4733.7662
100     4739.3365     4739.3365
200     2837.8858     4678.3626
300     2217.2039     4573.1707
400     1442.6762     4521.0511
500     1631.0234     4116.5138
600     1489.0955     3353.3864
700     1006.1380     2840.0623
800      432.5482     2670.0320
900      310.6640     2504.6425
1000      299.2672     2377.6011
1100      263.6134     2345.5625
1200      248.8422     2316.3275
1300      248.4581     2301.6635
1400      238.9244     2271.4094
1500      233.6004     2255.2457
1600      231.4677     2243.0205
